surface,occupants,age,temperature,insulation,equipment_count,energy_consumption
1031.7,39,45.0,15.81,5,47,172619.0
1062.9,91,20.0,10.78,3,11,185856.0
879.1,57,36.0,12.22,3,15,103144.0
1135.5,86,36.0,11.39,4,55,170576.0
1361.6,80,5.0,10.44,3,59,213433.0
1954.5,136,76.0,10.08,5,47,355966.0
1269.8,74,41.0,12.32,4,97,165795.0
1303.0,80,82.0,7.71,3,27,265877.0
1170.2,97,85.0,13.38,4,36,170011.0
432.5,26,21.0,10.46,1,50,26472.0
1189.4,81,65.0,8.67,2,81,233010.0
1224.1,90,47.0,10.37,3,83,229681.0
2185.3,150,88.0,14.64,2,26,444151.0
1123.1,76,21.0,10.16,4,71,129928.0
1320.6,91,67.0,12.4,5,38,215771.0
1186.1,103,60.0,9.67,3,67,189131.0
732.5,48,29.0,13.39,3,79,107731.0
1657.1,112,13.0,13.21,5,87,194373.0
1500.8,110,65.0,16.12,3,31,199610.0
1516.4,112,73.0,11.06,3,15,239451.0
836.2,67,31.0,13.17,3,35,110627.0
1761.1,123,64.0,11.75,5,48,262944.0
639.3,31,39.0,14.74,3,21,86686.0
1434.7,111,71.0,9.7,4,23,266124.0
2076.2,126,19.0,13.36,4,31,332130.0
803.8,56,89.0,11.01,3,60,178445.0
973.5,57,28.0,11.34,3,32,150096.0
1239.9,82,36.0,11.73,4,57,150689.0
998.6,69,,12.13,3,80,164636.0
579.7,41,,11.21,4,59,38094.0
1227.4,86,51.0,12.04,5,98,198593.0
775.1,67,26.0,15.45,3,22,125187.0
1389.4,97,83.0,13.96,4,94,231219.0
832.2,53,1.0,13.67,4,19,46421.0
1820.0,130,37.0,10.36,4,64,268773.0
886.7,71,33.0,9.28,3,18,168061.0
1071.2,59,1.0,13.89,1,88,147203.0
1525.4,107,12.0,13.69,3,61,223964.0
707.7,54,41.0,15.18,3,11,100535.0
1291.0,83,49.0,9.99,3,34,229377.0
1722.9,128,40.0,10.93,4,22,280195.0
557.0,35,,7.4,3,60,87309.0
1273.9,86,59.0,10.52,3,67,203348.0
1304.0,85,0.0,13.99,2,43,205395.0
1512.7,101,46.0,10.33,4,44,254429.0
705.2,36,96.0,13.1,3,12,108182.0
671.8,30,51.0,11.02,2,68,132630.0
1408.8,109,67.0,12.31,2,79,236801.0
1318.8,79,31.0,8.63,4,57,184792.0
1300.2,76,77.0,11.71,3,73,200017.0
1338.6,67,77.0,4.02,2,28,242233.0
928.0,55,52.0,11.03,5,76,119790.0
1292.9,72,97.0,7.42,4,91,267035.0
1317.2,104,12.0,14.51,5,82,143911.0
914.3,71,1.0,13.44,3,85,112766.0
1946.3,122,77.0,12.67,3,14,314868.0
1389.5,115,80.0,15.3,4,76,206338.0
723.5,58,12.0,9.13,3,20,59039.0
1462.6,94,26.0,15.87,4,77,193811.0
810.1,29,1.0,13.83,2,78,91342.0
1514.8,123,29.0,10.91,3,10,252911.0
1663.4,97,77.0,14.34,2,72,287427.0
871.7,41,51.0,8.73,2,38,121217.0
1585.4,115,34.0,9.44,1,91,304625.0
1365.1,115,37.0,9.98,1,21,242218.0
1528.8,115,0.0,10.18,5,86,219902.0
1958.7,136,29.0,8.86,2,50,336183.0
1101.8,79,64.0,14.56,3,11,152546.0
898.5,68,97.0,10.85,4,46,156244.0
844.2,63,84.0,12.38,3,54,149143.0
873.7,61,2.0,10.07,2,89,80178.0
1169.2,78,89.0,6.95,4,57,198846.0
1336.5,88,78.0,12.18,3,33,217654.0
1310.7,79,78.0,6.72,4,31,240205.0
1530.9,99,45.0,11.33,4,20,269061.0
1205.2,63,39.0,8.08,5,67,163760.0
1781.4,117,30.0,16.47,3,55,252039.0
1094.1,63,6.0,13.78,3,38,128462.0
2288.1,141,22.0,11.76,3,44,351804.0
1450.3,98,24.0,14.66,1,24,218099.0
857.1,71,48.0,9.38,4,69,146741.0
771.6,60,74.0,12.86,2,51,99843.0
1393.0,77,47.0,12.0,3,52,231685.0
1110.6,64,5.0,12.16,4,89,99541.0
1485.6,108,95.0,14.68,3,83,233965.0
1389.3,82,94.0,13.33,3,58,227645.0
1170.9,75,78.0,12.22,3,73,235896.0
861.3,62,99.0,7.36,4,41,152787.0
594.1,29,54.0,9.1,3,73,37480.0
1021.4,69,96.0,11.19,4,11,121067.0
1542.6,89,7.0,11.73,1,33,248881.0
1285.6,79,36.0,8.67,4,96,217526.0
701.7,49,22.0,17.53,4,75,62971.0
1269.3,68,19.0,15.29,2,47,184986.0
1354.1,94,14.0,13.01,3,40,223977.0
846.5,56,62.0,11.68,2,35,125716.0
1261.5,89,78.0,10.97,4,38,229469.0
1223.3,83,57.0,9.12,3,76,166236.0
742.8,63,14.0,11.69,3,87,67769.0
1343.1,90,81.0,12.14,2,34,190028.0
1424.3,90,63.0,8.4,2,57,250594.0
1633.2,110,38.0,12.34,1,74,274614.0
1621.5,113,67.0,11.11,3,62,277707.0
648.9,43,25.0,6.73,3,76,100837.0
824.9,55,34.0,9.35,4,99,92322.0
1406.0,86,91.0,10.47,3,27,244819.0
1405.5,87,29.0,16.22,3,18,159986.0
1406.0,79,,12.89,5,47,236220.0
2741.1,200,89.0,8.16,4,96,482579.0
1428.4,82,70.0,12.72,5,30,205479.0
1654.2,103,6.0,7.63,3,74,307631.0
1581.6,98,14.0,14.21,2,30,208264.0
1460.6,106,0.0,10.32,1,36,207907.0
1073.9,68,63.0,11.27,4,79,137928.0
1503.6,112,44.0,14.81,2,53,234528.0
890.9,52,13.0,8.28,3,37,141713.0
1105.3,76,95.0,8.01,3,54,226061.0
1005.9,58,52.0,10.04,3,26,226082.0
1232.7,103,24.0,14.1,3,49,116756.0
2125.9,129,50.0,7.7,2,12,396027.0
453.1,33,67.0,4.42,3,85,78716.0
1474.5,104,7.0,10.37,3,85,209838.0
554.9,41,27.0,12.88,5,75,24947.0
1011.2,65,80.0,14.5,4,55,125399.0
1635.6,107,45.0,10.34,5,95,295831.0
1225.7,82,54.0,10.47,4,96,213006.0
768.9,49,43.0,14.38,3,39,97416.0
913.9,70,4.0,6.83,2,78,179406.0
1471.8,120,,10.53,3,18,189597.0
907.9,54,44.0,11.98,3,94,99147.0
1286.6,72,20.0,12.62,3,20,132619.0
1218.2,80,4.0,10.23,3,78,160149.0
939.4,88,84.0,11.59,3,75,161766.0
2057.6,129,98.0,5.28,3,97,394363.0
1453.6,113,79.0,9.85,3,40,259037.0
389.9,42,85.0,12.63,2,42,28101.0
1274.6,79,24.0,9.04,4,48,213318.0
935.3,68,96.0,11.65,2,55,176623.0
1541.0,119,19.0,12.62,1,46,267759.0
883.0,55,95.0,10.64,3,69,109166.0
1154.1,74,99.0,11.93,3,40,209486.0
1402.0,87,71.0,9.09,3,20,215924.0
1546.3,92,98.0,10.98,2,96,274371.0
719.9,41,56.0,13.03,3,11,112931.0
1066.2,58,25.0,11.89,3,36,154995.0
1010.0,67,43.0,10.03,5,11,120224.0
938.7,54,59.0,12.06,5,30,127513.0
1906.2,129,7.0,13.29,3,67,251671.0
1362.0,75,62.0,6.38,3,14,274540.0
695.6,49,98.0,14.4,4,61,94714.0
1567.1,112,19.0,10.66,1,54,290330.0
2048.9,116,79.0,12.56,3,94,337914.0
1613.0,111,90.0,14.49,3,29,256377.0
592.3,51,94.0,8.07,5,70,78403.0
1006.3,54,96.0,9.73,1,47,221889.0
1706.8,130,52.0,10.78,3,29,267112.0
916.9,65,97.0,9.54,4,34,175742.0
1377.5,84,75.0,15.84,3,11,205127.0
1509.9,100,16.0,9.36,1,41,206771.0
829.2,60,47.0,10.11,5,35,96186.0
1176.2,79,71.0,12.01,3,79,163240.0
300.0,25,24.0,8.49,3,50,29470.0
790.2,43,64.0,10.51,2,76,105139.0
1099.0,74,66.0,12.29,3,10,198531.0
700.9,32,16.0,10.67,3,60,85778.0
1853.0,122,56.0,11.27,1,14,323474.0
627.9,32,77.0,10.18,2,22,129335.0
1024.0,60,49.0,7.71,4,28,189066.0
1252.3,95,1.0,12.3,2,21,181684.0
1776.5,129,0.0,15.89,2,57,241765.0
625.7,47,35.0,11.55,3,34,35025.0
1665.3,100,92.0,12.06,4,66,264331.0
1204.1,77,22.0,13.23,1,44,172133.0
807.4,65,63.0,8.33,3,85,140886.0
1384.8,93,22.0,15.76,2,14,192366.0
1279.6,108,32.0,12.01,1,31,228006.0
959.9,67,84.0,15.58,1,86,146325.0
1227.9,83,72.0,9.67,4,66,202397.0
1045.9,66,9.0,16.05,2,56,162517.0
1245.4,84,42.0,13.44,1,63,211680.0
1464.9,96,2.0,12.88,3,12,208466.0
1834.4,129,48.0,12.09,4,62,276987.0
704.9,56,66.0,10.88,2,93,103056.0
2053.2,129,11.0,14.5,3,40,291857.0
419.2,14,,11.85,1,78,41251.0
1139.3,57,39.0,6.58,3,97,213367.0
1435.3,100,91.0,8.71,3,42,256692.0
1312.4,76,99.0,11.04,3,81,200188.0
950.9,41,4.0,12.27,3,97,165115.0
1116.8,78,76.0,11.36,3,59,195009.0
1002.8,91,37.0,14.55,2,93,108881.0
964.3,64,39.0,6.62,3,25,151756.0
1539.8,111,75.0,11.86,1,85,280386.0
1342.8,90,91.0,6.96,4,86,287059.0
922.8,60,95.0,13.4,5,48,107381.0
1559.8,113,57.0,11.26,5,98,266014.0
1322.9,85,35.0,12.55,4,55,227157.0
1525.1,104,78.0,9.34,3,97,254180.0
1451.9,100,25.0,14.7,4,56,194911.0
868.4,51,56.0,14.1,2,53,104367.0
975.9,74,35.0,12.96,3,18,131403.0
1498.9,98,65.0,11.18,3,96,250700.0
1444.1,88,24.0,12.95,3,59,232349.0
1191.6,84,19.0,9.73,4,86,200422.0
1246.9,74,91.0,13.64,2,69,197412.0
1711.1,114,10.0,15.62,3,24,197189.0
963.4,64,50.0,14.18,5,45,118334.0
1418.8,105,22.0,9.68,1,72,248490.0
1119.1,79,3.0,12.4,3,78,156433.0
1112.9,73,3.0,8.27,5,95,141288.0
1639.5,117,17.0,12.93,3,89,251071.0
1530.2,115,86.0,12.63,3,50,298485.0
1525.4,107,28.0,6.83,2,83,276049.0
1722.2,114,95.0,8.6,3,33,306809.0
1208.4,67,58.0,10.79,4,91,176780.0
1472.8,87,43.0,10.75,3,58,234563.0
1075.9,68,58.0,8.48,3,27,224579.0
1329.7,82,51.0,12.47,1,16,221823.0
1147.9,74,75.0,12.13,1,13,205444.0
1238.8,83,28.0,11.01,5,99,159766.0
1438.1,101,35.0,9.61,3,78,261212.0
872.7,57,,14.12,3,69,186323.0
2037.0,140,94.0,15.64,1,64,371035.0
797.6,53,89.0,10.29,3,25,141963.0
714.3,27,41.0,9.97,5,99,88576.0
1663.2,101,78.0,12.73,3,91,220919.0
1516.7,99,47.0,10.6,2,38,276238.0
1449.6,84,49.0,11.15,3,32,239004.0
1451.3,102,20.0,13.35,4,23,215883.0
1195.1,94,59.0,6.73,3,88,195130.0
841.1,68,18.0,14.8,4,58,78744.0
1230.3,79,33.0,11.68,3,42,176469.0
929.1,76,85.0,10.47,4,34,178056.0
1590.0,107,20.0,11.28,3,30,237877.0
1141.2,72,7.0,11.41,2,26,220723.0
869.8,51,6.0,7.17,3,32,139413.0
1071.4,68,94.0,15.24,2,66,147271.0
1365.2,87,50.0,11.6,5,90,198783.0
974.5,66,40.0,12.61,4,67,115168.0
871.1,59,81.0,13.88,3,23,79599.0
1297.5,86,83.0,8.95,3,29,272804.0
1298.0,90,33.0,12.68,2,39,220795.0
997.2,78,69.0,10.83,4,28,169391.0
1011.6,76,77.0,13.62,3,62,163179.0
1292.8,71,65.0,6.18,2,65,209443.0
620.8,15,15.0,11.25,3,86,58638.0
637.0,51,87.0,9.99,1,91,149387.0
912.6,47,53.0,12.58,3,32,108503.0
1114.6,72,28.0,12.68,3,71,96202.0
1324.4,76,42.0,9.73,2,42,218738.0
1790.1,101,3.0,9.72,5,27,261710.0
1543.1,108,12.0,11.22,2,82,247403.0
1136.0,83,76.0,9.26,2,42,226012.0
1192.4,73,0.0,13.6,2,41,181430.0
799.0,27,41.0,10.58,4,70,115314.0
1192.6,74,52.0,4.23,3,63,249679.0
1084.5,76,5.0,10.56,3,26,114628.0
1329.1,73,97.0,8.9,1,28,274605.0
869.1,59,22.0,7.42,1,79,167331.0
1407.7,93,30.0,8.41,3,43,200097.0
1813.1,126,30.0,11.77,4,93,243837.0
1156.5,78,23.0,14.82,4,34,128620.0
1360.7,80,0.0,12.28,1,77,193296.0
1476.1,110,72.0,9.98,3,83,274494.0
1039.5,67,96.0,12.64,5,83,144362.0
1289.6,85,22.0,10.35,3,97,176646.0
1205.0,71,66.0,9.76,4,94,181309.0
1239.1,78,74.0,8.61,2,20,256119.0
890.8,50,84.0,7.12,5,25,151064.0
1209.8,78,42.0,10.53,4,99,178978.0
1399.2,110,30.0,11.9,5,70,195146.0
1780.5,104,32.0,11.26,3,89,319398.0
1583.7,89,71.0,10.46,3,16,253856.0
2061.3,152,81.0,9.14,5,25,384497.0
893.1,57,18.0,13.02,2,25,127427.0
1548.9,96,,8.21,3,49,256476.0
1273.3,95,90.0,13.44,4,21,266775.0
2075.9,132,80.0,8.99,4,44,336498.0
876.7,76,98.0,9.62,5,30,135161.0
864.1,64,75.0,7.83,2,59,133580.0
960.2,59,39.0,10.25,4,52,162170.0
350.4,44,,13.94,4,26,64318.0
989.7,59,66.0,12.79,1,41,212380.0
896.3,67,7.0,13.95,3,50,136018.0
1260.2,87,54.0,12.81,2,15,200405.0
1336.7,102,70.0,8.74,3,97,225764.0
1950.5,145,,10.67,5,36,254178.0
1580.2,105,78.0,9.55,3,29,329819.0
969.2,57,58.0,14.83,4,34,141016.0
840.6,60,95.0,8.51,5,75,128532.0
1396.8,86,4.0,13.73,3,18,228236.0
671.9,64,26.0,13.73,4,62,41648.0
1932.6,130,60.0,16.07,3,70,317020.0
1671.8,107,29.0,10.48,4,47,256656.0
1012.3,69,71.0,13.28,2,12,182357.0
514.7,20,75.0,17.2,5,93,35058.0
1741.5,106,10.0,9.96,2,79,247891.0
1154.2,88,51.0,7.66,3,64,199910.0
1695.1,106,50.0,6.8,4,10,316284.0
562.2,27,36.0,13.28,3,79,60387.0
960.2,69,93.0,6.79,3,54,205046.0
1202.1,91,82.0,10.57,3,56,182249.0
1218.8,88,69.0,12.59,4,88,187884.0
1020.0,77,71.0,11.96,2,35,157688.0
1449.1,89,46.0,12.56,1,23,263953.0
773.0,37,92.0,12.06,2,63,138685.0
1143.0,91,69.0,14.7,3,80,191822.0
1248.1,79,72.0,9.12,2,55,253953.0
1405.8,91,86.0,9.81,3,40,267339.0
1484.6,112,27.0,9.57,3,97,245527.0
750.1,55,80.0,13.58,1,68,105553.0
586.4,43,19.0,13.75,3,38,55770.0
1711.1,135,34.0,12.63,4,26,247928.0
1332.9,82,33.0,14.46,2,23,193448.0
900.6,69,97.0,8.55,3,45,159965.0
1820.5,121,85.0,15.67,3,67,275129.0
1246.3,85,70.0,15.31,3,33,142101.0
1671.7,126,72.0,13.34,4,72,251582.0
1227.0,86,56.0,15.95,3,34,183387.0
2024.3,140,94.0,7.36,3,68,341564.0
1902.1,137,49.0,10.19,1,41,338533.0
1100.4,69,38.0,9.66,3,91,221602.0
1588.6,97,16.0,13.3,3,27,262354.0
1458.2,86,78.0,8.87,1,46,317882.0
1747.5,96,73.0,13.39,3,35,300416.0
814.0,74,38.0,14.93,5,18,112623.0
1474.4,87,2.0,13.24,3,73,192097.0
1623.4,106,83.0,12.21,3,81,261669.0
496.5,30,1.0,9.03,5,29,10000.0
726.7,51,70.0,9.38,4,63,143551.0
384.3,33,97.0,14.62,3,95,89412.0
1092.2,81,43.0,13.45,4,92,136640.0
1487.0,93,23.0,11.4,4,39,214774.0
1800.9,118,70.0,10.46,3,62,292411.0
1229.6,84,81.0,6.44,3,72,239822.0
1851.4,120,54.0,8.82,3,20,348128.0
648.0,59,96.0,16.28,5,40,30393.0
518.6,39,5.0,8.3,3,58,70487.0
1177.8,85,50.0,11.97,1,96,193794.0
1353.6,96,71.0,14.02,4,28,210559.0
1186.9,90,86.0,8.36,3,21,228198.0
373.0,26,17.0,11.96,1,24,36350.0
1164.4,64,80.0,13.84,3,40,184346.0
678.2,49,55.0,11.53,3,52,92550.0
1467.9,91,39.0,18.67,4,46,218606.0
1346.6,84,13.0,7.33,2,88,235934.0
824.0,60,86.0,14.15,4,38,124127.0
994.5,78,15.0,11.07,3,35,106992.0
776.3,51,30.0,13.43,1,11,103867.0
1174.9,81,,12.6,5,93,176570.0
1582.1,122,87.0,9.67,3,24,283761.0
805.7,56,67.0,12.07,2,13,148962.0
1401.6,119,79.0,6.86,3,95,302712.0
987.9,71,25.0,13.01,4,59,151403.0
882.9,41,62.0,12.25,3,47,137211.0
1157.2,84,57.0,13.1,2,32,174163.0
785.9,56,83.0,14.15,2,68,63564.0
978.5,78,90.0,12.42,2,99,168268.0
720.8,54,1.0,11.87,4,84,63198.0
1985.9,131,67.0,9.3,3,37,357821.0
1214.1,68,5.0,9.72,2,75,184120.0
920.1,59,54.0,14.47,2,17,129149.0
1285.6,77,28.0,15.09,3,38,135640.0
1155.1,71,30.0,10.9,5,20,134613.0
1111.6,79,35.0,11.62,3,27,178473.0
1445.7,113,62.0,9.24,5,64,274716.0
1503.0,104,33.0,14.43,3,59,221838.0
987.8,53,,13.16,2,23,171562.0
969.7,69,40.0,16.35,4,83,138670.0
1090.0,84,6.0,9.3,3,18,139046.0
300.0,13,78.0,10.55,4,20,44939.0
593.9,38,28.0,12.08,5,72,32764.0
1746.7,116,43.0,13.12,1,85,316797.0
1858.0,116,68.0,10.96,1,76,339287.0
1100.4,79,33.0,9.32,4,62,172247.0
1430.6,94,5.0,13.7,2,48,190642.0
1324.5,92,37.0,13.3,2,87,224864.0
2431.6,153,94.0,9.21,1,65,509918.0
1647.8,105,,14.89,1,37,254179.0
1148.8,83,67.0,14.43,4,84,158859.0
817.8,50,63.0,11.84,2,48,139631.0
557.4,54,19.0,11.7,3,34,78910.0
1281.4,81,41.0,12.89,3,30,180493.0
897.5,62,75.0,9.35,3,19,84715.0
631.1,51,10.0,11.58,1,52,119962.0
941.4,48,27.0,6.12,4,24,165909.0
767.4,33,27.0,13.69,1,92,65702.0
1874.9,109,43.0,7.6,4,57,300731.0
1552.7,116,98.0,15.26,4,95,289697.0
1196.8,74,6.0,10.67,3,30,208987.0
1792.0,145,51.0,10.97,3,69,322394.0
1230.9,76,17.0,9.93,3,59,182609.0
855.5,58,97.0,10.78,3,32,153937.0
1809.2,136,11.0,15.05,4,22,255147.0
1415.6,114,40.0,5.28,4,78,269830.0
785.1,72,73.0,14.69,3,13,90064.0
1123.9,87,70.0,12.35,3,87,161301.0
849.8,66,42.0,8.48,5,81,143986.0
646.9,49,34.0,8.81,5,18,76120.0
1570.5,112,39.0,15.69,3,44,268294.0
1963.8,125,26.0,9.14,3,30,309518.0
640.6,34,20.0,8.62,2,67,94744.0
1425.2,94,48.0,14.34,5,27,177332.0
939.7,60,26.0,12.35,2,81,137183.0
1005.1,62,28.0,9.16,3,90,117612.0
963.0,71,65.0,12.04,2,52,147832.0
854.4,66,96.0,8.94,2,15,131557.0
1219.4,82,60.0,14.25,3,95,203483.0
867.6,72,7.0,14.15,5,87,100292.0
1308.2,75,7.0,12.83,1,76,157980.0
1179.9,76,,12.4,3,21,235883.0
1104.4,66,29.0,15.9,1,21,223989.0
837.0,37,9.0,11.5,2,75,115559.0
969.3,63,59.0,8.55,3,11,148604.0
1502.2,98,62.0,12.62,3,24,315377.0
1400.4,108,64.0,16.72,2,32,185688.0
809.0,60,26.0,8.96,3,38,119674.0
1239.7,72,1.0,10.6,1,90,200088.0
1500.6,118,96.0,12.54,3,16,293756.0
532.2,47,25.0,11.37,5,37,50812.0
1417.3,100,67.0,9.04,5,23,217320.0
935.0,60,70.0,14.3,3,53,115432.0
1428.2,85,61.0,17.3,3,39,202827.0
894.7,55,31.0,11.99,5,90,81963.0
478.0,42,27.0,9.24,1,41,77087.0
549.0,55,59.0,7.63,4,79,70226.0
1219.2,96,86.0,12.14,5,97,152302.0
1303.9,82,94.0,14.26,1,15,264988.0
838.3,44,10.0,12.69,2,36,97658.0
1455.4,98,15.0,11.49,5,91,171250.0
535.4,18,94.0,10.03,3,97,91851.0
1173.6,81,73.0,8.77,1,33,225469.0
715.6,46,88.0,13.59,2,43,75680.0
939.3,57,20.0,13.78,3,49,127964.0
1219.0,65,58.0,7.64,3,56,186764.0
855.8,62,70.0,15.47,4,88,154333.0
1046.2,64,68.0,12.94,5,84,160183.0
1602.5,95,40.0,15.0,2,95,241460.0
969.2,35,1.0,8.14,3,33,121577.0
1534.3,102,58.0,8.09,3,74,265187.0
748.1,67,25.0,11.13,3,27,113995.0
1411.9,110,45.0,12.76,2,53,228179.0
1776.6,113,95.0,15.99,5,85,272452.0
300.0,13,39.0,13.27,4,66,10000.0
881.2,63,83.0,10.89,3,37,134625.0
1430.8,85,18.0,8.93,3,80,219046.0
1118.8,77,67.0,14.58,2,32,126171.0
1348.5,97,97.0,9.09,3,94,272045.0
958.4,76,10.0,15.57,3,43,118584.0
1234.6,81,,10.79,3,20,157084.0
1137.7,73,43.0,15.48,5,95,189109.0
1667.1,102,9.0,13.2,3,44,250377.0
1301.8,78,74.0,11.16,3,51,194353.0
1335.0,86,91.0,10.2,4,37,250829.0
1035.2,72,43.0,10.65,2,91,178926.0
1005.0,76,25.0,12.57,3,87,148710.0
1027.0,60,43.0,11.69,3,91,143952.0
1357.8,105,72.0,10.02,3,33,245498.0
1031.6,66,0.0,11.09,4,17,123584.0
1315.9,87,58.0,11.7,3,62,227237.0
2030.2,127,,6.18,4,81,310307.0
1548.4,78,63.0,12.65,3,13,242613.0
1069.6,80,24.0,9.05,3,14,207867.0
1680.5,119,71.0,8.62,4,58,270071.0
1036.8,66,9.0,7.28,2,39,152990.0
384.8,26,19.0,7.02,2,81,45142.0
796.8,58,87.0,8.11,3,72,117630.0
451.7,14,73.0,9.73,2,56,26091.0
1059.4,65,1.0,16.38,1,35,133067.0
1207.4,88,24.0,10.19,3,66,188244.0
1870.6,112,21.0,11.94,3,46,294174.0
1330.8,91,27.0,12.5,3,16,195062.0
1112.4,60,24.0,11.83,5,49,144925.0
1531.8,106,6.0,11.31,3,48,256001.0
315.5,20,45.0,8.51,4,71,27538.0
1294.2,70,73.0,15.13,2,87,195927.0
1508.3,112,60.0,16.02,3,62,223699.0
608.6,33,67.0,7.29,4,13,114543.0
1657.5,102,8.0,8.94,3,91,299203.0
1335.4,91,95.0,10.8,4,34,213056.0
1033.9,80,83.0,9.09,3,16,187250.0
1453.1,86,80.0,12.76,1,37,268907.0
2108.3,141,82.0,9.68,3,78,350422.0
1272.7,89,93.0,16.91,3,76,199922.0
1299.3,93,54.0,14.48,4,29,151729.0
1016.3,69,20.0,12.03,2,92,105168.0
860.1,53,61.0,14.07,5,20,114847.0
1532.1,93,74.0,14.26,5,76,222075.0
857.6,58,73.0,10.09,2,96,157890.0
1228.6,71,52.0,9.46,3,16,203876.0
