temperature,humidity,wind_speed,fine_particles,visibility,traffic_level,intervention
13.7,62.2,9.3,15.0,6.3,faible,non
14.7,31.5,14.3,5.0,4.3,fort,non
9.8,81.8,7.4,30.3,8.4,faible,non
18.6,74.1,35.0,28.2,3.6,moyen,oui
11.4,59.3,6.3,23.0,7.4,moyen,non
5.2,50.2,10.0,60.2,11.2,faible,non
4.8,82.5,15.5,38.2,3.2,faible,non
16.4,75.2,13.6,40.9,4.8,moyen,non
27.6,100.0,14.6,16.0,5.4,faible,non
16.3,76.3,7.5,15.0,7.8,moyen,non
14.1,75.8,9.1,30.6,7.1,moyen,non
17.3,67.5,19.1,32.6,11.5,faible,non
25.4,82.3,18.5,5.0,10.4,faible,non
16.8,79.4,13.9,27.3,9.2,fort,oui
11.7,88.8,23.8,30.2,8.4,fort,non
23.9,62.2,19.5,26.8,9.0,faible,non
18.4,63.5,18.2,17.8,5.8,fort,oui
27.3,62.8,2.8,21.9,10.1,moyen,oui
16.5,81.9,13.7,27.3,5.2,moyen,oui
5.2,92.5,12.2,31.4,10.1,moyen,non
4.1,63.1,25.7,39.1,11.0,moyen,non
28.2,63.6,0.5,46.2,8.5,fort,non
28.8,74.7,9.7,25.6,7.6,moyen,oui
13.6,66.3,11.5,23.2,9.0,moyen,non
11.9,84.3,4.6,36.6,1.0,moyen,non
26.7,36.2,5.4,39.2,8.8,faible,non
6.1,57.6,25.8,23.5,7.7,moyen,non
7.8,58.3,14.6,41.9,7.9,faible,non
20.1,35.2,31.1,44.7,9.8,faible,non
11.8,55.5,9.5,49.4,7.8,faible,non
15.0,56.3,3.4,56.7,5.1,faible,non
13.7,67.0,8.6,17.0,7.6,moyen,non
17.7,86.7,7.6,30.2,8.2,moyen,non
26.3,66.3,16.8,30.2,8.3,moyen,non
15.7,54.5,16.4,28.5,8.4,faible,non
20.2,69.1,15.1,20.3,10.6,moyen,non
-1.4,85.7,35.0,7.7,5.3,moyen,oui
14.6,55.4,23.0,31.4,8.4,moyen,non
8.3,56.3,5.7,18.5,11.2,moyen,non
5.2,78.4,19.9,31.3,3.7,moyen,oui
8.0,66.7,11.0,18.1,8.4,moyen,non
12.3,79.7,9.4,13.5,6.5,fort,oui
22.3,69.8,24.8,33.5,7.1,fort,oui
4.4,80.5,5.4,32.3,5.7,moyen,non
15.2,54.5,19.1,38.7,7.6,moyen,oui
11.1,69.8,17.3,62.8,12.6,faible,non
12.4,66.8,5.3,34.2,4.8,fort,oui
23.0,51.8,2.7,37.3,5.1,moyen,non
19.3,46.5,10.2,13.8,4.7,faible,non
25.7,80.3,21.4,10.7,12.3,fort,oui
13.8,64.7,13.7,53.7,6.8,moyen,oui
9.4,54.7,25.2,16.1,7.9,faible,non
13.2,68.6,13.1,14.3,7.0,faible,non
16.9,86.9,26.3,29.4,5.6,faible,oui
16.4,35.8,7.0,28.6,7.4,moyen,non
6.3,47.6,15.0,16.5,14.1,faible,non
15.7,56.2,8.2,25.4,11.5,fort,oui
16.8,91.9,10.0,48.4,5.9,fort,oui
35.1,74.2,11.5,17.9,9.6,moyen,non
30.0,81.5,13.7,9.1,5.9,moyen,non
8.2,52.9,6.3,44.1,3.6,faible,oui
12.7,53.2,14.6,37.4,10.5,faible,non
3.3,76.7,11.1,20.7,10.9,moyen,oui
10.3,70.9,3.6,6.3,10.6,faible,non
17.5,78.2,2.3,18.8,6.8,faible,non
24.6,67.2,21.4,29.2,7.6,moyen,oui
9.2,74.2,9.7,47.5,9.9,faible,non
9.8,72.4,3.3,14.5,9.0,moyen,non
-2.2,81.7,28.9,28.7,7.0,moyen,non
13.7,82.1,15.5,40.1,4.0,fort,oui
6.5,45.7,13.4,5.0,8.3,moyen,non
10.8,36.3,5.9,45.5,10.7,fort,oui
8.0,85.0,3.5,12.3,5.0,moyen,oui
14.2,87.8,12.2,35.0,9.6,fort,oui
0.9,54.7,10.7,33.7,8.8,moyen,non
3.3,42.1,4.7,46.3,9.9,faible,oui
32.0,71.5,4.6,38.3,10.2,fort,oui
4.7,84.0,4.4,5.0,6.3,faible,oui
6.2,97.0,4.3,18.2,4.0,faible,non
29.7,77.7,6.9,32.1,6.7,faible,non
38.2,64.4,13.5,27.1,10.2,moyen,non
5.6,56.6,14.9,37.2,6.6,moyen,oui
12.1,70.2,10.5,41.8,6.3,moyen,non
17.7,65.5,11.8,39.1,3.4,fort,oui
28.8,54.8,15.4,26.8,12.4,faible,non
7.1,100.0,1.8,5.0,10.1,moyen,non
13.0,96.8,12.5,23.2,9.9,moyen,non
21.2,87.0,23.6,36.2,10.4,fort,non
18.5,56.2,9.5,13.6,9.4,faible,non
12.0,82.8,20.9,39.5,7.4,faible,non
13.9,79.6,9.6,43.6,7.6,moyen,non
4.0,76.6,16.0,31.9,6.9,moyen,oui
13.1,88.7,13.3,5.0,14.6,fort,oui
12.9,79.5,4.3,10.8,9.4,moyen,oui
16.9,81.1,5.2,58.3,6.8,fort,oui
10.6,79.6,26.3,21.8,9.2,moyen,non
18.8,75.1,18.3,5.0,5.5,faible,non
23.1,43.2,10.1,48.5,11.8,faible,non
16.2,71.3,9.2,30.2,6.3,faible,non
17.8,61.7,5.9,46.6,9.3,moyen,non
15.4,50.8,14.0,34.2,10.7,moyen,non
15.0,95.2,6.3,36.9,9.0,moyen,oui
9.2,95.9,8.4,35.4,8.2,moyen,oui
17.5,90.4,6.8,40.5,8.0,moyen,non
14.2,73.8,17.6,64.2,7.9,moyen,non
31.7,90.3,9.8,44.6,6.6,moyen,oui
27.6,70.2,11.9,6.3,6.9,moyen,non
18.1,73.0,4.4,36.7,11.7,moyen,non
8.9,53.6,6.8,47.1,7.7,moyen,non
6.1,76.0,12.1,48.0,6.0,moyen,non
24.5,70.9,2.8,23.6,6.7,moyen,non
17.1,50.5,9.3,47.5,10.8,moyen,oui
18.8,69.2,10.7,43.9,9.7,moyen,oui
1.0,68.8,3.9,68.6,9.4,moyen,non
22.4,97.0,20.3,18.7,7.4,faible,non
18.6,83.4,13.6,22.4,9.4,moyen,non
6.1,70.2,9.7,25.4,6.4,fort,oui
11.2,73.7,6.4,22.6,7.4,faible,non
17.1,70.7,2.7,16.6,10.4,fort,non
15.4,67.0,19.4,5.0,10.2,faible,non
12.7,53.8,7.8,23.5,5.5,moyen,non
14.2,67.7,3.4,35.5,5.9,moyen,oui
13.0,58.8,6.3,22.6,8.3,faible,non
16.2,51.2,14.5,59.0,12.3,fort,oui
26.8,77.7,12.7,30.2,3.2,moyen,non
-5.5,75.9,4.7,49.4,8.7,fort,oui
13.1,43.2,21.5,33.9,4.6,faible,non
16.4,68.2,3.4,42.4,6.4,fort,oui
17.4,84.9,24.2,34.2,7.1,fort,oui
12.0,85.9,12.3,50.5,6.9,moyen,non
0.9,85.4,8.2,30.8,6.7,faible,non
17.6,70.6,9.1,37.4,8.0,moyen,non
28.8,57.3,11.4,35.5,6.7,moyen,oui
2.7,53.7,15.2,25.7,4.3,fort,non
21.9,75.2,2.3,36.1,9.9,moyen,non
12.4,75.7,6.1,63.5,9.9,faible,non
14.5,89.3,11.2,25.9,10.1,faible,non
6.6,86.5,22.0,36.3,4.1,moyen,oui
12.3,68.0,21.5,48.9,8.7,fort,oui
25.4,51.3,27.3,47.1,9.7,faible,non
19.7,65.2,20.9,30.2,5.4,moyen,non
28.9,73.3,5.8,5.0,8.0,fort,oui
24.4,67.0,10.7,37.8,7.7,faible,non
18.5,61.3,20.9,5.0,12.6,faible,non
29.0,73.8,19.7,52.0,12.8,moyen,non
18.5,62.4,9.4,32.5,3.8,moyen,non
21.6,60.6,15.0,45.0,14.2,faible,non
12.6,74.7,7.8,16.5,5.7,fort,oui
15.5,64.0,3.1,6.7,10.5,moyen,non
9.4,73.7,10.0,33.9,10.4,fort,oui
22.9,74.1,9.6,29.5,5.5,fort,oui
5.6,52.9,7.5,22.6,9.2,fort,oui
21.3,62.8,15.3,31.3,7.7,moyen,non
13.5,91.6,9.2,71.5,9.4,faible,non
24.4,52.6,14.0,42.5,8.6,moyen,oui
21.0,38.3,17.4,45.7,11.0,faible,non
29.6,42.1,35.0,42.7,8.2,moyen,non
20.8,70.4,10.1,52.2,7.6,faible,non
2.4,70.5,22.2,27.1,10.7,moyen,non
14.5,68.2,12.6,5.0,9.5,faible,oui
5.6,88.2,13.0,27.2,9.8,faible,non
10.9,29.9,10.2,42.2,6.3,faible,non
27.1,75.9,11.9,15.5,5.4,moyen,oui
20.1,93.4,9.2,27.4,6.6,fort,oui
9.4,53.1,19.9,19.6,6.4,faible,non
6.9,64.3,6.3,52.5,10.0,fort,oui
15.3,58.7,3.1,41.2,10.4,fort,oui
5.3,56.6,7.3,39.8,7.6,moyen,non
9.6,65.1,6.8,39.3,11.6,moyen,non
17.5,91.4,7.3,29.4,11.4,moyen,non
24.2,97.6,9.8,33.0,8.6,faible,non
19.9,65.0,7.4,12.2,5.9,moyen,oui
-3.3,98.6,9.7,5.0,11.9,faible,non
17.4,70.5,7.4,32.3,7.8,fort,non
15.6,96.3,14.1,34.9,8.3,fort,oui
18.3,68.6,35.0,48.1,7.2,fort,oui
27.9,72.0,12.4,53.6,5.8,moyen,oui
-1.5,75.5,7.6,53.5,4.3,moyen,oui
10.3,100.0,1.1,15.0,9.6,fort,oui
19.7,82.8,31.7,24.7,6.0,faible,non
2.3,59.4,12.9,37.2,15.0,faible,non
26.8,84.5,9.7,68.0,5.3,moyen,non
17.9,64.6,1.2,52.2,4.9,moyen,non
21.8,62.7,10.0,46.8,9.3,moyen,non
10.4,83.6,11.8,24.2,11.8,faible,non
21.5,70.5,7.4,16.8,8.2,moyen,non
23.5,74.2,3.7,41.8,9.4,faible,non
16.9,70.2,3.5,13.5,3.4,faible,non
16.9,75.0,32.0,26.4,6.3,faible,non
17.2,76.4,11.6,28.3,5.3,moyen,oui
8.1,40.9,7.4,53.9,3.3,fort,non
13.8,80.0,11.1,24.7,8.3,moyen,oui
13.8,55.3,10.6,5.0,2.4,moyen,non
18.1,48.4,3.3,37.6,4.7,fort,non
23.0,69.1,19.1,19.5,6.7,moyen,non
6.5,71.3,9.5,30.6,5.9,fort,oui
14.0,59.6,11.7,28.7,9.0,moyen,non
26.9,82.5,25.8,25.9,8.8,moyen,oui
9.1,49.9,3.8,41.9,10.2,faible,non
8.4,63.9,6.1,7.0,9.9,faible,non
16.6,61.2,13.3,22.2,10.9,fort,non
21.8,69.3,18.8,40.3,8.0,fort,non
15.1,74.2,6.9,20.8,8.8,fort,non
25.6,54.9,7.2,5.9,9.3,fort,oui
21.9,80.9,16.2,40.0,8.4,faible,non
21.7,70.9,35.0,46.8,7.0,fort,oui
19.4,41.6,11.4,29.3,7.2,moyen,non
33.6,40.6,6.1,5.0,6.0,fort,oui
13.4,69.8,4.8,40.6,9.1,faible,non
-1.0,66.7,9.8,5.1,7.8,faible,oui
27.8,68.4,18.3,34.6,6.3,fort,oui
11.3,69.6,35.0,16.7,6.3,fort,oui
15.9,73.4,8.7,12.6,5.0,moyen,non
25.5,84.2,11.4,23.4,10.4,moyen,non
2.2,53.3,28.9,27.3,8.2,moyen,non
5.0,52.4,13.2,20.3,5.8,fort,oui
2.2,53.6,12.5,38.8,10.0,moyen,oui
8.6,74.3,25.6,23.3,6.6,moyen,non
18.5,88.7,11.6,44.7,4.5,moyen,non
19.2,63.5,5.1,34.2,10.6,moyen,non
17.2,32.5,22.4,19.5,6.7,moyen,non
3.7,44.4,2.8,17.0,7.0,moyen,non
-3.5,57.5,20.2,5.3,8.1,fort,oui
15.4,61.6,10.8,34.4,10.9,fort,non
11.2,63.9,8.8,24.7,8.1,fort,non
18.7,70.6,8.6,5.0,5.0,moyen,oui
20.6,65.3,9.8,22.0,9.4,moyen,non
16.1,85.7,7.9,16.5,6.8,moyen,non
21.1,59.9,14.4,53.6,12.7,fort,oui
16.8,57.1,8.1,5.0,8.0,moyen,non
19.2,77.2,2.0,8.4,2.4,moyen,non
9.4,47.0,10.8,46.6,8.9,moyen,non
13.6,75.8,1.8,50.4,12.9,moyen,non
16.6,71.5,10.8,18.8,11.9,moyen,oui
21.6,67.8,7.8,20.5,12.6,faible,non
11.9,93.8,19.2,39.2,5.5,moyen,non
19.2,60.7,9.0,5.0,10.3,moyen,non
12.9,100.0,17.5,5.0,6.2,faible,non
14.1,66.6,16.3,25.8,8.6,fort,oui
21.6,50.8,16.6,53.2,4.8,moyen,oui
-0.9,71.0,9.3,23.5,6.4,faible,non
4.6,53.9,11.3,31.5,6.3,fort,oui
3.1,58.7,14.2,47.0,10.2,moyen,non
-3.7,76.0,11.5,61.6,10.0,fort,oui
9.6,78.3,9.0,21.3,8.7,moyen,non
21.0,60.7,5.5,29.7,4.6,fort,oui
12.7,84.8,10.9,57.3,7.2,moyen,oui
16.6,87.4,3.1,7.2,6.1,moyen,non
23.7,91.5,1.7,45.4,10.2,faible,non
25.6,77.9,4.5,14.7,10.9,moyen,non
14.4,90.5,16.5,31.5,10.6,moyen,non
25.8,41.8,12.6,26.4,6.1,moyen,non
15.7,65.2,16.6,15.6,1.2,moyen,non
8.3,57.0,6.5,15.3,3.6,fort,oui
10.2,71.8,20.5,34.1,11.6,moyen,oui
3.2,61.4,3.5,44.9,7.0,faible,non
7.9,67.5,4.7,28.1,6.1,fort,non
12.1,98.2,20.3,31.1,12.1,moyen,non
21.4,67.5,12.0,38.6,11.2,fort,non
28.8,76.2,16.6,15.4,8.1,fort,oui
3.9,66.5,12.7,41.1,7.3,fort,oui
18.1,71.1,7.2,42.3,7.7,fort,oui
6.7,70.1,4.2,69.1,8.6,moyen,oui
18.8,76.7,2.2,24.4,12.0,faible,non
14.0,87.5,30.3,23.1,9.1,moyen,oui
0.4,94.7,2.7,41.5,9.8,fort,oui
22.4,74.6,25.0,42.3,10.9,moyen,non
10.2,78.8,11.6,22.0,5.1,fort,oui
10.7,52.7,12.9,24.0,9.9,faible,non
6.4,68.7,12.4,38.1,7.3,moyen,non
9.8,84.1,15.3,17.6,1.7,moyen,non
18.4,83.0,6.0,23.8,2.7,moyen,oui
13.5,73.2,1.5,31.3,5.5,faible,non
17.6,83.3,7.1,44.9,9.3,faible,non
17.9,77.4,14.5,20.9,8.3,fort,oui
25.6,88.0,4.7,5.0,8.5,moyen,non
12.3,74.3,20.8,5.0,12.9,faible,non
3.2,64.7,9.9,11.1,4.8,faible,non
23.5,75.0,4.3,10.3,7.9,moyen,non
12.3,26.0,12.0,27.7,8.8,faible,oui
23.9,75.7,14.4,12.2,6.2,moyen,non
18.1,25.0,15.0,19.5,8.1,fort,non
14.0,44.1,0.3,18.4,4.0,faible,non
17.8,76.8,20.3,23.4,11.5,moyen,non
30.6,77.2,3.2,49.8,6.3,faible,non
31.6,52.6,20.3,39.9,13.1,moyen,oui
15.6,59.3,21.4,30.2,7.9,fort,oui
16.3,90.6,4.2,23.1,10.6,moyen,non
23.6,62.7,4.9,23.5,7.9,fort,oui
8.2,100.0,17.2,34.9,7.9,faible,oui
17.7,70.0,8.1,38.8,6.5,moyen,oui
14.8,76.1,23.4,16.4,8.3,moyen,non
17.5,94.3,27.4,30.5,8.8,moyen,non
8.3,72.0,4.3,5.0,6.0,fort,non
2.3,55.0,5.9,33.2,7.7,faible,non
-1.6,68.4,11.5,41.4,6.5,fort,oui
6.1,69.5,1.4,25.8,13.7,fort,non
11.3,49.5,2.2,57.2,7.8,moyen,non
12.7,66.2,5.4,16.8,11.9,moyen,non
30.5,58.9,33.2,33.3,7.5,moyen,non
23.8,83.9,12.7,29.5,8.6,faible,non
7.3,70.5,6.7,28.5,4.7,fort,oui
17.8,65.8,4.9,28.3,6.9,moyen,non
11.7,68.4,4.2,31.6,8.5,fort,oui
12.7,73.3,7.1,42.7,12.0,moyen,non
16.5,79.3,6.8,50.7,8.6,moyen,non
20.0,55.0,9.2,30.0,11.5,moyen,non
12.3,54.4,14.8,42.2,9.6,moyen,oui
23.5,86.6,10.2,19.5,12.1,fort,oui
5.9,63.8,17.8,41.5,7.9,faible,non
15.1,48.7,8.7,18.6,14.0,fort,non
35.8,76.7,28.7,46.4,6.8,fort,non
16.8,77.0,17.5,63.2,6.1,fort,oui
26.5,47.0,12.5,28.2,5.0,moyen,non
15.7,73.4,14.8,5.0,13.8,fort,non
19.6,81.0,7.2,21.8,10.0,moyen,non
14.5,75.6,9.1,48.5,7.2,fort,oui
13.6,79.5,8.8,38.3,11.1,faible,non
8.8,48.9,6.1,33.7,9.7,moyen,non
18.4,75.0,3.6,45.1,12.9,moyen,non
8.2,65.5,15.4,37.3,4.1,moyen,non
20.3,62.8,19.6,48.3,7.3,moyen,non
23.7,83.1,14.0,43.8,6.8,fort,oui
17.9,92.2,10.2,52.8,3.1,faible,non
12.7,96.9,35.0,35.4,10.7,moyen,oui
18.6,89.7,6.6,43.6,7.3,faible,non
12.5,68.4,12.8,25.4,9.8,fort,non
22.5,75.3,21.4,21.0,13.9,fort,non
0.3,81.5,4.5,55.6,7.1,moyen,oui
12.3,71.8,16.1,33.2,6.9,moyen,oui
-0.9,72.0,29.9,42.1,8.3,fort,oui
3.0,82.4,10.8,31.9,10.5,fort,oui
